"bundesland","kategorie","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Brandenburg","Rinder 2 Jahre und älter, Milchkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328703,250834,231996,236631,226367,228044,229582,221800,210800,206441,196500,189597,182100,181472,178100,174600,167400,163674,166959,165589,158943,157576,158833,162607,163871,162798,151808,151011,148785,142554,140083
"Brandenburg","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11273,11233,29366,32499,52940,63457,72177,80200,92100,98390,100500,100538,96000,91676,91800,90500,90200,91997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandenburg","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14199,6760,3344,3411,4331,3012,3001,2000,2600,2239,1500,1968,1600,1698,1100,1400,1200,823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandenburg","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96540,95892,96770,95812,93240,92043,92818,91792,91634,89961,88764,87162,87023
"Bremen","Kälber bis einschließlich 8 Monate",1243,1244,1428,1316,1438,1156,1354,1320,1482,1344,1475,1453,1498,1287,1410,1551,1352,1507,1515,1572,1610,1346,1595,1886,1789,1960,1947,1909,1916,2062,2071,2095,2298,2524,2610,2465,2338,2292,2393,2415,2065,1905,1966,1965,1969,1980,1778,1800,1800,1718,1700,1542,1500,1384,NA,NA,NA,1530,1445,1962,1717,1720,1731,1759,1654,1611,1621,1682,1500,1438,1564
"Bremen","Jungrinder über 8 Monate bis 1 Jahr, männlich",833,857,1093,1015,1078,1012,1226,1230,1395,1336,1432,1487,1641,1495,1581,1575,1668,1604,1700,1635,1663,1538,1639,1847,1938,1678,1750,1678,1701,1637,1446,1357,1486,1573,1527,1519,1251,1262,1097,1104,1105,1050,797,749,796,736,663,700,700,712,700,743,700,702,700,NA,NA,581,558,231,189,185,186,164,163,150,148,133,99,125,73
"Bremen","Jungrinder über 8 Monate bis 1 Jahr, weiblich",2411,2455,2401,2347,2443,2172,2255,2106,2154,2304,2268,2371,2438,2250,2275,1936,1990,2027,2039,1954,1919,1732,1727,1865,1968,1721,1756,1719,1742,1595,1588,1587,1705,1676,1787,1633,1587,1505,1302,1311,1474,1398,1131,1084,1186,1176,1028,1000,1000,1165,1200,971,1000,928,900,NA,NA,879,888,541,704,633,742,746,806,851,660,707,657,671,566
"Bremen","Rinder 1 bis unter 2 Jahre, männlich",818,729,818,904,867,904,953,994,1069,1149,1313,1096,1296,1523,1526,1599,1754,1668,1763,1708,1799,1808,1824,1922,2018,1918,1996,2002,2013,1922,2038,2035,1779,1799,1784,2038,1749,1896,1466,1561,1243,1211,1171,1162,1017,1010,1144,1100,1100,966,1000,902,900,915,900,NA,NA,NA,812,707,582,408,402,354,350,385,291,327,252,171,213
"Bremen","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466,532,422,331,424,394,383,410,459,183,181,281,321,381,383,294,314,360,360,227,210,247,265,170,200,200,242,200,214,200,139,100,NA,NA,NA,81,70,101,94,111,95,90,103,94,117,116,128,118
"Bremen","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1907,1955,1855,1881,2003,2016,1960,1882,1945,2320,2394,2104,2173,2139,2104,2039,2072,1983,1965,1856,1800,1776,1793,1731,1700,1700,1763,1800,1705,1700,1625,1600,NA,NA,1663,1604,1602,1663,1661,1685,1697,1654,1886,1681,1761,1780,1818,1861
"Bremen","Rinder 2 Jahre und älter, Bullen und Ochsen",566,588,664,509,483,497,534,599,664,728,865,728,1080,815,867,1095,768,1014,1129,1268,1322,1126,1115,849,802,1096,1162,897,881,777,983,1118,756,872,802,889,745,743,601,651,502,459,576,535,508,501,401,400,400,448,400,399,400,297,300,NA,NA,360,346,328,232,235,167,167,208,167,183,167,177,191,177
"Bremen","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,305,155,151,220,241,201,125,104,98,96,126,160,135,154,174,183,174,148,157,158,111,141,74,100,100,63,100,151,200,123,100,NA,NA,NA,25,26,31,33,31,31,28,30,32,33,33,29,28
"Bremen","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,987,965,1022,1043,857,867,788,905,845,990,1042,931,1050,996,909,1264,1178,1182,1210,1137,1096,987,1031,1062,1100,1100,936,900,1073,1100,985,1000,NA,NA,NA,975,957,887,884,856,896,768,805,824,778,706,684,678
"Bremen","Rinder 2 Jahre und älter, Milchkühe",7940,7746,7633,7638,7411,6778,6827,6392,6569,6572,6733,6369,6506,5770,5833,5384,5356,5174,5228,5071,4870,4759,4875,4640,4532,4521,4605,4422,4443,4535,4531,4577,4802,5091,5099,4981,5120,4733,4464,4406,4209,4001,3928,3853,3863,3905,3746,3700,3700,3502,3500,3254,3300,3384,3400,NA,NA,3226,3377,3479,3636,3746,3704,3837,3900,4059,3739,3698,3583,3326,3323
"Bremen","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,127,270,287,295,286,358,333,295,321,329,341,340,297,228,268,253,303,331,419,430,908,915,776,750,826,800,800,1001,1000,769,800,703,700,NA,NA,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bremen","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",161,117,389,174,133,272,193,284,208,259,222,218,222,169,227,213,183,224,195,453,569,146,133,114,259,128,129,155,180,186,51,36,49,48,46,43,107,142,191,224,281,197,187,191,208,300,135,100,100,98,100,214,200,98,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bremen","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,718,643,594,493,476,495,465,425,492,524,494,521,499
"Hamburg","Kälber bis einschließlich 8 Monate",887,855,1008,1027,1114,1084,1286,1609,1716,1676,1703,1718,1661,1854,1526,1747,1702,1867,1925,1853,1784,2189,2513,3284,3345,2463,2613,2525,2609,2403,2488,2463,2537,2608,2158,2011,1882,1820,1774,1850,1759,1696,1449,1443,1232,1273,1174,1200,1200,1218,1200,1155,1200,815,800,NA,NA,937,836,1043,1183,1158,1079,1246,1179,1091,1112,1134,1047,974,1170
"Hamburg","Jungrinder über 8 Monate bis 1 Jahr, männlich",319,291,405,443,525,546,625,1188,1053,1367,1349,1668,1630,1409,1353,1463,1491,1438,1449,1501,1455,1463,1573,1678,1666,1667,1740,1366,1371,1405,1341,1247,1295,1300,1427,1334,1180,1159,659,680,727,683,531,507,655,656,814,800,800,668,700,418,400,408,400,NA,NA,485,465,302,171,217,210,182,172,202,239,196,231,126,304
"Hamburg","Jungrinder über 8 Monate bis 1 Jahr, weiblich",2358,2528,2636,2676,2632,2572,2572,2710,2526,2409,2364,2424,2392,2209,2174,1989,2064,1968,1970,1972,1917,1709,1753,1633,1689,1418,1441,1521,1526,1295,1453,1456,1506,1520,1509,1396,1411,1381,773,756,952,883,887,853,973,976,778,800,800,785,800,570,600,471,500,NA,NA,572,476,392,293,350,392,353,324,382,370,368,340,275,280
"Hamburg","Rinder 1 bis unter 2 Jahre, männlich",257,200,277,308,427,456,401,1007,881,932,967,943,853,957,913,1037,1062,1201,1195,1267,1338,1400,1435,1637,1702,1721,1774,1728,1764,1602,1338,1263,1462,1510,1468,1644,1459,1471,1246,1268,1234,1187,797,795,932,915,835,800,800,919,900,1086,1100,1022,1000,NA,NA,810,721,669,544,533,531,527,600,613,792,713,665,666,561
"Hamburg","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724,763,738,599,733,800,590,614,600,700,651,1037,1162,1321,1367,1242,1171,1065,1112,677,699,400,394,465,500,500,662,700,664,700,376,400,NA,NA,354,92,106,153,180,201,188,177,176,168,143,137,134,91
"Hamburg","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,1346,1334,1361,1303,1300,1410,1214,1235,1174,1216,1123,1130,812,818,788,765,886,879,1376,1376,1091,1084,823,800,800,736,700,653,700,699,700,NA,NA,599,931,959,923,876,903,948,973,897,981,785,842,760,691
"Hamburg","Rinder 2 Jahre und älter, Bullen und Ochsen",530,118,751,863,317,284,240,725,613,980,369,606,546,317,684,1174,523,505,493,1031,961,603,613,379,796,305,341,475,464,298,390,422,324,396,136,153,175,168,397,402,366,358,255,277,230,205,268,300,300,318,300,334,300,413,400,NA,NA,181,240,221,161,149,135,149,131,141,158,157,182,145,136
"Hamburg","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,327,427,452,347,445,345,382,360,184,149,373,450,456,427,732,950,695,589,355,380,143,137,196,200,200,235,200,276,300,195,200,NA,NA,95,17,19,30,24,25,23,23,26,26,28,26,31,29
"Hamburg","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,716,748,543,534,559,552,602,591,613,392,377,578,627,354,346,382,376,437,430,620,636,519,511,420,400,400,368,400,444,400,406,400,NA,NA,458,496,477,541,442,419,434,401,458,441,427,380,470,411
"Hamburg","Rinder 2 Jahre und älter, Milchkühe",9041,8929,8576,8540,8055,7300,7309,7060,7095,7129,7428,6614,6345,5948,6023,5781,5815,5485,5530,5204,5051,4375,4568,4093,4015,3707,3781,3688,3706,3439,3421,3452,3404,3608,3197,3088,2874,2684,2500,2495,2527,2454,1814,1778,1671,1652,1537,1500,1500,1424,1400,1190,1200,1087,1100,NA,NA,966,1094,1043,947,950,1028,1086,1152,1160,1149,1161,1094,1117,1143
"Hamburg","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,182,206,214,274,221,176,210,255,212,223,275,266,256,228,278,302,334,399,480,567,1065,1164,1179,1224,1287,1300,1300,1223,1200,1367,1400,1117,1100,NA,NA,988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hamburg","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",680,313,985,1031,555,783,468,1006,1073,1269,515,378,542,672,799,514,414,126,1044,668,1217,281,119,108,139,173,245,31,101,41,451,392,91,77,48,48,61,94,85,98,82,61,100,127,57,77,118,100,100,337,300,82,100,120,100,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hamburg","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166,1156,1183,1144,1129,1180,1151,1124,1156,1185,1163,1120,1120
"Hessen","Kälber bis einschließlich 8 Monate",56539,63342,58379,56793,61898,69270,69855,68842,76792,73218,85035,90368,82296,79522,82050,90052,96004,98272,93844,91866,89577,83544,83084,127326,129107,123733,121407,123158,121254,123401,126017,119298,117569,123533,127804,117325,112135,104084,101059,96191,95832,79068,79173,77752,76088,78436,75158,65500,63800,81255,72800,75651,72500,69638,67000,68300,67000,64669,73376,91534,85365,84952,83894,86265,88854,84389,83646,81669,79912,78167,79936
"Hessen","Jungrinder über 8 Monate bis 1 Jahr, männlich",12637,15840,20066,16607,19460,24569,30684,31763,36054,48314,59010,74204,73527,68466,73970,86331,92638,90322,95150,99191,99912,96211,94941,87794,90131,90459,88571,87520,90415,87336,88503,88623,83732,86639,88980,89809,80042,74795,70118,61227,64069,60915,51144,46713,45513,44016,41652,38900,39400,29352,28900,28305,24900,24245,22000,22500,21900,24093,21468,13946,14168,13253,13749,14455,14667,13873,13919,13597,12271,13003,11502
"Hessen","Jungrinder über 8 Monate bis 1 Jahr, weiblich",103932,109978,117598,110437,110556,113267,120496,114871,113258,121447,118574,123277,119236,112896,116240,118725,125961,127482,129311,127078,124992,119625,114815,105005,106954,104788,103383,101700,103528,101338,102507,100665,99286,97376,100185,97918,92396,85493,82080,77065,78153,73202,69734,67709,67166,69779,65541,63300,59800,55018,51100,51657,46400,47147,44500,45000,44300,45120,40695,26939,27728,26962,27205,27299,27988,28065,27282,26527,25090,24746,23121
"Hessen","Rinder 1 bis unter 2 Jahre, männlich",10004,11482,12881,13601,11991,14937,18595,21190,20343,21982,28650,36078,42178,39392,34335,46134,56860,58399,62741,70719,74621,73564,77200,76150,78608,80537,74254,81979,86826,86186,85892,91768,82896,85112,90280,94914,90934,86198,81525,76381,75592,75485,63322,54281,53659,51394,51060,47100,45800,40477,40200,38771,38900,33813,30800,28200,32700,30517,35564,34284,31163,29076,28248,31218,32258,30594,28615,28942,27019,27338,28106
"Hessen","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25702,27107,23919,21562,22578,23530,23738,23745,22422,22302,19230,26329,27001,27119,32008,23833,21109,23877,24902,20868,17800,15735,14982,16678,17600,17200,18401,16500,17053,15300,14196,11800,11900,9200,11369,4696,4581,6147,6566,6906,6625,6645,6789,7039,7401,7168,7557,6491
"Hessen","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88976,91021,93858,92617,96453,95789,97487,95014,96559,98819,98097,92612,98436,91775,89296,86140,86878,82824,77451,79604,78642,77021,76635,78551,80100,78200,71655,70600,67702,65000,66518,63900,61900,64900,63800,73713,73530,69784,67576,67580,67607,68645,68879,66648,64868,61667,59846,60291
"Hessen","Rinder 2 Jahre und älter, Bullen und Ochsen",10323,9632,9674,9614,8410,8999,8919,8893,8127,9192,10981,13414,14116,13593,12246,14599,13076,13111,9606,10049,10367,9915,10656,7634,6815,6004,5594,6573,6598,6968,6207,6417,6021,5751,5554,7146,6205,6322,5462,5830,6062,5297,5007,5595,5065,5574,5537,5800,5300,9364,9800,9826,6400,8649,6200,6200,5200,7585,6519,6946,7049,5726,5055,5385,5872,5595,5842,5861,6123,6247,6403
"Hessen","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3930,4187,3301,2726,3023,3397,3951,3768,3624,3174,3543,4291,4418,4128,4676,3716,3959,4098,3795,3574,2983,2800,3758,3467,4100,4200,2707,3900,4739,3000,2648,1900,2600,1800,2270,1009,1076,1527,1408,1352,1324,1440,1407,1469,1578,1597,1535,1399
"Hessen","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34653,36043,37769,35752,39608,38594,41478,39791,39985,39752,41995,34986,39066,36617,34265,34597,34930,32137,31122,31070,32225,31393,30955,34082,36400,38700,34629,34700,33846,34000,32904,32200,29800,30000,29480,34810,34792,35332,31842,30981,31493,31795,30929,30655,29810,28058,26891,25563
"Hessen","Rinder 2 Jahre und älter, Milchkühe",439510,447267,439605,432023,419455,412377,410085,394988,397259,399231,406717,409435,398392,386833,377463,379116,384013,383904,379639,373278,353929,334001,331783,328134,320394,313562,307196,306907,303359,300317,296588,287915,287201,295871,284664,274688,272207,253281,249791,242006,231185,210088,203299,195559,192784,189742,187526,176600,174700,175645,162700,168465,160600,161561,157700,157500,152900,151037,153710,151303,148779,146063,143527,146081,146884,145218,140212,139425,134380,131083,130005
"Hessen","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1059,1406,5225,5653,6213,5799,6044,7252,8816,9881,9833,9271,9611,10470,11702,11110,12705,10920,12656,14680,16188,23632,27173,29963,33151,36502,37500,37200,39924,42200,42784,41300,41339,41300,40200,41000,42446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hessen","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",4761,4286,4872,5616,4694,5076,4673,5511,3171,3533,3960,5570,5255,4787,3766,4780,5014,5648,5010,5929,5019,4446,4887,6771,5532,3812,3331,3940,4845,5506,5304,3767,3439,4474,4452,3729,3927,4569,2948,3658,5037,4200,2913,2659,2790,2717,2643,2300,3500,1835,3400,3757,2900,2112,2200,2200,1900,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hessen","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47304,46228,45078,43039,41910,42130,43035,43243,43608,44478,43916,43677,43955
"Mecklenburg-Vorpommern","Kälber bis einschließlich 8 Monate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159732,86705,76771,80122,91781,92067,87472,78500,80000,94964,96200,97232,93200,90574,90200,89900,89700,91653,96016,120032,117349,114542,114383,117159,121239,118377,115975,110897,105944,102558,98725
"Mecklenburg-Vorpommern","Jungrinder über 8 Monate bis 1 Jahr, männlich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84917,47976,40666,38172,36065,34081,27123,27100,25700,24558,23400,26247,28400,27769,27200,18400,16900,25960,26603,17306,13811,13280,13370,13375,12418,12693,12878,12451,6247,6997,7517
"Mecklenburg-Vorpommern","Jungrinder über 8 Monate bis 1 Jahr, weiblich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104864,58500,46749,57875,55061,59076,58992,55600,56200,50408,45800,46784,46600,45124,44800,43500,49300,43072,45862,32141,29207,29336,29558,31168,32167,32864,33052,30889,29292,27823,29329
"Mecklenburg-Vorpommern","Rinder 1 bis unter 2 Jahre, männlich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132274,80331,51469,44776,44912,40513,35309,25400,27300,27586,28600,30841,32400,32311,30200,31500,27700,27528,30725,31034,26554,28950,27918,29350,29340,27129,25906,25714,16205,16044,15796
"Mecklenburg-Vorpommern","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42508,31222,12411,9158,6139,4373,4716,4200,4900,4617,4200,6014,5000,4610,5200,5700,4600,4658,4384,4371,6157,6431,6311,6347,6118,6754,7392,7385,6964,7346,6128
"Mecklenburg-Vorpommern","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114146,81190,59787,79727,75262,79043,87619,86200,83100,82820,76100,74867,76400,75490,74000,73500,76700,75009,79390,81859,81428,78173,78573,81363,83052,85162,85331,81962,77480,75918,73605
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, Bullen und Ochsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21269,11993,4187,6002,4416,4381,5287,4400,4600,4443,4100,4835,5000,4729,4500,4100,3900,4058,4749,4855,4648,4259,3809,4220,4012,3994,4137,4286,4476,4329,4333
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9514,9487,2833,1046,781,747,1560,900,800,935,1700,1072,1200,1345,1000,1100,1000,1298,799,897,1145,1096,1060,1014,1106,1072,1070,1194,1119,1060,1065
"Mecklenburg-Vorpommern","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62222,54009,39693,34685,41613,41046,42592,45900,45300,41987,41500,36243,33000,32179,31200,28000,29300,28522,28630,27988,27894,25824,24659,25529,25524,24514,22994,23311,20701,20065,19561
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, Milchkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345426,248397,221856,235721,226202,233107,231237,226000,204000,203291,194900,190103,183900,182210,181400,179100,170800,173026,174882,173927,172330,175695,177857,179860,182508,181451,172132,170237,164514,161895,160419
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9499,11470,31686,36709,44826,49575,52152,55300,61800,73209,76800,75747,71800,67639,65700,63800,66300,68630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19101,9602,4156,2684,2420,3122,2076,2000,2100,2237,1100,1963,1000,1099,700,600,1400,471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mecklenburg-Vorpommern","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73257,73557,71094,68913,67060,67490,68125,67065,67530,67083,64062,62664,61205
"Niedersachsen","Kälber bis einschließlich 8 Monate",142714,144414,168626,164801,167743,162298,185763,182557,215032,212066,232668,243261,246066,226120,260476,286639,249943,244505,243745,272971,279552,275524,326495,413989,392662,415353,412672,390675,398291,403913,422963,427762,428742,470934,517112,488456,525723,515339,535660,540287,565023,521251,536918,536679,539963,543018,545049,513200,480900,531435,520400,484161,495200,472999,437400,483900,455000,454366,462115,616707,597685,606231,617962,614427,625003,622258,614195,613248,588266,568604,566231
"Niedersachsen","Jungrinder über 8 Monate bis 1 Jahr, männlich",62321,61066,82352,73812,81180,86170,104367,110548,126991,150252,161045,190413,209142,182996,194039,218714,231650,222369,233392,252453,256280,243509,259546,284473,298825,298561,311403,308177,311614,302986,307354,288487,292663,309727,326642,324961,318911,321814,324212,326183,357414,339783,320314,300983,299195,276771,277142,263100,277200,246239,250000,265219,252700,246250,245100,231000,225200,229291,236544,143236,140236,139446,138691,141529,139000,132884,130672,128478,122435,112476,110598
